Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione Attuale;Quotazione Iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavolo
Jovic;Jovic Luka;A;Pc;12;13;Milan;ambidestro;Serbia;23/12/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/JOVIC.png?v=56;5.89;6.79
Turati;Turati Stefano;P;Por;7;5;Frosinone;destro;Italia;05/09/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/TURATI.png?v=56;6.19;4.42
Monterisi;Monterisi Ilario;D;Dc;7;1;Frosinone;sinistro;Italia;19/12/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MONTERISI.png?v=56;5.83;6.25
Romagnoli S.;Romagnoli Simone;D;Dc;7;5;Frosinone;destro;Italia;09/02/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNOLI-S.png?v=56;5.83;5.83
Szyminski;Szyminski Przemyslaw;D;Dc;1;1;Frosinone;destro;Polonia;24/06/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Marchizza;Marchizza Riccardo;D;"Ds;Dc";4;6;Frosinone;sinistro;Italia;26/03/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARCHIZZA.png?v=56;6.0;6.19
Oyono;Oyono Anthony;D;"Dd;Ds;Dc";2;1;Frosinone;destro;"Gabon;Francia";12/04/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/OYONO.png?v=56;5.82;5.75
Klitten;Klitten Lukas;D;"Ds;E";1;1;Frosinone;sinistro;Danimarca;01/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Brescianini;Brescianini Marco;C;"M;C";15;6;Frosinone;sinistro;Italia;20/01/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BRESCIANINI.png?v=56;6.09;6.44
Harroui;Harroui Abdou;C;"M;C";13;5;Frosinone;ambidestro;"Olanda;Marocco";13/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/HARROUI.png?v=56;6.15;6.79
Mazzitelli;Mazzitelli Luca;C;"M;C";16;5;Frosinone;destro;Italia;15/11/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MAZZITELLI.png?v=56;6.10;6.52
Haoudi;Haoudi Hamza;C;"C;T";1;1;Frosinone;sinistro;"Italia;Marocco";09/03/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gelli;Gelli Francesco;C;"C;W;T";4;1;Frosinone;destro;Italia;15/10/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GELLI.png?v=56;5.85;5.78
Baez;Baez Jaime;C;W;2;3;Frosinone;destro;"Uruguay;Spagna";25/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.0;6.25
Garritano;Garritano Luca;C;"W;T";1;3;Frosinone;destro;Italia;11/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.9;5.85
Bidaoui;Bidaoui Soufiane;A;A;1;1;Frosinone;destro;"Marocco;Belgio";20/04/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Caso;Caso Giuseppe;A;A;2;6;Frosinone;destro;Italia;09/12/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.95;5.95
Kvernadze;Kvernadze Giorgi;A;A;1;3;Frosinone;destro;Georgia;07/02/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KVERNADZE.png?v=56;5.75;5.75
Borrelli;Borrelli Gennaro;A;Pc;2;1;Frosinone;destro;Italia;10/03/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.0;6.0
Cuni;Cuni Marvin;A;Pc;4;3;Frosinone;destro;Gemania;10/07/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CUNI.png?v=56;5.94;6.28
Leali;Leali Nicola;P;Por;2;1;Genoa;destro;Italia;17/02/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.5;5.25
Martinez Jo.;Martinez Josep;P;Por;12;8;Genoa;destro;Spagna;27/05/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-JO.png?v=56;6.14;4.97
Sommariva;Sommariva Daniele;P;Por;1;1;Genoa;destro;Italia;18/07/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Bani;Bani Mattia;D;Dc;8;3;Genoa;destro;Italia;10/12/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BANI.png?v=56;6.02;6.07
Matturro;Matturro Alan;D;Dc;2;1;Genoa;sinistro;"Uruguay;Italia";11/10/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.5;4.83
Biraschi;Biraschi Davide;D;"Dd;Dc";5;4;Genoa;destro;Italia;02/07/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BIRASCHI.png?v=56;6.0;9.0
Dragusin;Dragusin Radu;D;"Dd;Dc";13;7;Genoa;destro;Romania;03/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DRAGUSIN.png?v=56;6.11;6.45
Vogliacco;Vogliacco Alessandro;D;"Dd;Dc";6;6;Genoa;destro;Italia;14/09/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VOGLIACCO.png?v=56;6.03;5.97
Vasquez;Vasquez Johan;D;"Ds;Dc";13;5;Genoa;sinistro;Messico;22/04/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VASQUEZ.png?v=56;6.16;6.19
Hefti;Hefti Silvan;D;"Dd;E";2;3;Genoa;destro;Svizzera;25/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.7;5.7
Martin;Martin Aaron;D;"Ds;E";6;8;Genoa;sinistro;Spagna;22/04/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARTIN.png?v=56;5.92;5.92
Pajac;Pajac Marko;D;"Ds;E";1;1;Genoa;sinistro;Croazia;11/05/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PAJAC.png?v=56;0.0;0.0
Sabelli;Sabelli Stefano;D;"Dd;Ds;E";7;5;Genoa;destro;Italia;13/01/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SABELLI.png?v=56;5.92;5.87
Frendrup;Frendrup Morten;C;"E;M";15;7;Genoa;destro;Danimarca;07/04/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FRENDRUP.png?v=56;6.23;6.42
Badelj;Badelj Milan;C;"M;C";11;6;Genoa;destro;Croazia;25/02/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BADELJ.png?v=56;6.05;6.14
Lipani;Lipani Luca;C;"M;C";3;1;Sassuolo;destro;Italia;18/05/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.0;6.0
Strootman;Strootman Kevin;C;"M;C";7;7;Genoa;sinistro;Olanda;13/02/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/STROOTMAN.png?v=56;5.96;5.96
Jagiello;Jagiello Filip;C;C;1;3;Genoa;ambidestro;Polonia;08/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/JAGIELLO.png?v=56;5.0;5.0
Melegoni;Melegoni Filippo;C;C;1;1;Genoa;destro;Italia;18/02/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MELEGONI.png?v=56;0.0;0.0
Aramu;Aramu Mattia;C;"W;T";4;5;Genoa;sinistro;Italia;14/05/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ARAMU.png?v=56;0.0;0.0
Gudmundsson A.;Gudmundsson Albert;C;"T;A";30;13;Genoa;destro;Islanda;15/06/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GUDMUNDSSON-A.png?v=56;6.47;7.64
Ekuban;Ekuban Caleb;A;A;14;1;Genoa;destro;"Ghana;Italia";23/03/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/EKUBAN.png?v=56;6.09;6.65
Coda M.;Coda Massimo;A;Pc;4;4;Genoa;destro;Italia;10/11/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CODA-M.png?v=56;0.0;0.0
Puscas;Puscas George;A;Pc;2;1;Genoa;destro;Romania;08/04/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PUSCAS.png?v=56;5.33;5.33
Retegui;Retegui Mateo;A;Pc;20;23;Genoa;destro;"Argentina;Italia";29/04/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RETEGUI.png?v=56;6.09;6.79
Yalcin;Yalcin Guven;A;Pc;1;1;Genoa;destro;"Turchia;Germania";18/01/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Di Gennaro;Di Gennaro Raffaele;P;Por;3;1;Inter;destro;Italia;03/10/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.5;6.5
Stankovic F.;Stankovic Filip;P;Por;1;1;Inter;destro;Serbia;25/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Acerbi;Acerbi Francesco;D;Dc;14;11;Inter;sinistro;Italia;10/02/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ACERBI.png?v=56;6.17;6.5
Bastoni;Bastoni Alessandro;D;Dc;14;13;Inter;sinistro;Italia;13/04/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BASTONI.png?v=56;6.32;6.45
Bisseck;Bisseck Yann Aurel;D;Dc;13;4;Inter;destro;"Germania;Camerun";29/11/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BISSECK.png?v=56;6.36;7.0
De Vrij;De Vrij Stefan;D;Dc;10;6;Inter;destro;Olanda;05/02/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DE-VRIJ.png?v=56;6.27;6.41
Darmian;Darmian Matteo;D;"Dd;Dc";13;13;Inter;destro;Italia;02/12/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DARMIAN.png?v=56;6.14;6.33
Cuadrado;Cuadrado Juan;D;E;5;8;Inter;destro;Colombia;26/05/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CUADRADO.png?v=56;6.05;6.2
Dimarco;Dimarco Federico;D;E;24;18;Inter;sinistro;Italia;10/11/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DIMARCO.png?v=56;6.48;7.18
