Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione Attuale;Quotazione Iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavolo
Casale;Casale Nicolò;D;Dc;3;10;Lazio;destro;Italia;14/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CASALE.png?v=56;5.68;5.55
Gila;Gila Mario;D;Dc;6;1;Lazio;destro;Spagna;29/08/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GILA.png?v=56;6.02;5.93
Romagnoli;Romagnoli Alessio;D;Dc;6;13;Lazio;sinistro;Italia;12/01/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNOLI.png?v=56;5.96;5.80
Patric;Patric;D;"Dd;Dc";9;6;Lazio;destro;Spagna;17/04/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PATRIC.png?v=56;6.08;6.29
Lazzari;Lazzari Manuel;D;"Dd;E";6;5;Lazio;destro;Italia;29/11/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LAZZARI.png?v=56;5.94;5.90
Hysaj;Hysaj Elseid;D;"Dd;Ds;E";4;8;Lazio;destro;Albania;20/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/HYSAJ.png?v=56;5.7;5.65
Marusic;Marusic Adam;D;"Dd;Ds;E";6;8;Lazio;destro;"Montenegro;Serbia";17/10/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARUSIC.png?v=56;5.72;5.73
Akpa Akpro;Akpa Akpro Jean-Daniel;C;"M;C";4;3;Monza;destro;"Costa d''Avorio;Francia";11/10/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/AKPA-AKPRO.png?v=56;5.82;5.64
Cataldi;Cataldi Danilo;C;"M;C";5;8;Lazio;destro;Italia;06/08/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CATALDI.png?v=56;5.98;5.95
Marcos Antonio;Marcos Antonio;C;"M;C";6;6;Lazio;destro;Brasile;13/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARCOS-ANTONIO.png?v=56;0.0;0.0
Vecino;Vecino Matias;C;"M;C";18;7;Lazio;destro;"Uruguay;Italia";24/08/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VECINO.png?v=56;6.16;6.78
Basic;Basic Toma;C;C;2;4;Salernitana;sinistro;Croazia;25/11/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BASIC.png?v=56;5.54;5.36
Luis Alberto;Luis Alberto Alconchel;C;"C;T";20;22;Lazio;destro;Spagna;28/09/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LUIS-ALBERTO.png?v=56;6.27;6.84
Felipe Anderson;Felipe Anderson;C;"W;A";17;23;Lazio;destro;Brasile;15/04/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FELIPE-ANDERSON.png?v=56;6.08;6.59
Zaccagni;Zaccagni Mattia;C;"W;A";16;28;Lazio;destro;Italia;16/06/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZACCAGNI.png?v=56;6.23;6.77
Cancellieri;Cancellieri Matteo;A;A;12;5;Empoli;sinistro;Italia;12/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CANCELLIERI.png?v=56;6.0;6.31
Pedro;Pedro Rodriguez Ledesma;A;A;7;12;Lazio;ambidestro;Spagna;28/07/1987 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PEDRO.png?v=56;5.92;6.0
Castellanos;Castellanos Taty;A;Pc;14;12;Lazio;destro;Argentina;03/10/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CASTELLANOS.png?v=56;5.87;6.32
Immobile;Immobile Ciro;A;Pc;16;32;Lazio;destro;Italia;20/02/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/IMMOBILE.png?v=56;5.91;6.59
Bleve;Bleve Marco;P;Por;1;1;Lecce;destro;Italia;18/10/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Brancolini;Brancolini Federico;P;Por;1;1;Lecce;destro;Italia;14/07/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Falcone;Falcone Wladimiro;P;Por;12;8;Lecce;destro;Italia;12/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FALCONE.png?v=56;6.25;4.91
Dermaku;Dermaku Kastriot;D;Dc;1;1;Lecce;destro;"Albania;Italia";15/01/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Pongracic;Pongracic Marin;D;Dc;7;5;Lecce;destro;"Croazia;Germania";11/09/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PONGRACIC.png?v=56;5.94;5.81
Smajlovic;Smajlovic Zinedin;D;Dc;1;1;Lecce;ambidestro;"Svezia;Bosnia Erzegovina";20/12/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Baschirotto;Baschirotto Federico ;D;"Dd;Dc";5;11;Lecce;destro;Italia;02/09/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BASCHIROTTO.png?v=56;5.76;5.72
Gendrey;Gendrey Valentin;D;"Dd;E";11;6;Lecce;destro;"Francia;Guadalupa";21/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GENDREY.png?v=56;5.92;6.09
Gallo;Gallo Antonino;D;"Ds;E";10;5;Lecce;sinistro;Italia;05/01/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GALLO.png?v=56;5.94;6.0
Venuti;Venuti Lorenzo;D;"Dd;Ds;E";2;5;Lecce;destro;Italia;12/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VENUTI.png?v=56;5.5;5.42
Blin;Blin Alexis;C;"M;C";6;6;Lecce;destro;Francia;16/09/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BLIN.png?v=56;5.79;5.75
Hjulmand;Hjulmand Morten;C;"M;C";12;12;Lecce;destro;Danimarca;25/06/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/HJULMAND.png?v=56;0.0;0.0
Gonzalez J.;Gonzalez Joan;C;C;7;7;Lecce;destro;Spagna;01/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GONZALEZ-J.png?v=56;5.94;5.94
Maleh;Maleh Youssef;C;C;5;4;Empoli;sinistro;"Italia;Marocco";22/08/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MALEH.png?v=56;5.79;5.66
Helgason;Helgason Thorir Johann;C;"C;T";1;1;Lecce;destro;Islanda;28/09/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Rafia;Rafia Hamza;C;"C;T";5;3;Lecce;destro;"Tunisia;Francia";02/04/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RAFIA.png?v=56;5.92;5.88
Strefezza;Strefezza Gabriel;C;W;8;17;Lecce;destro;"Brasile;Italia";18/04/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/STREFEZZA.png?v=56;5.82;5.87
Almqvist;Almqvist Pontus;A;A;11;10;Lecce;sinistro;Svezia;10/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ALMQVIST.png?v=56;5.98;6.13
Banda;Banda Lameck;A;A;10;8;Lecce;destro;Zambia;29/01/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BANDA.png?v=56;6.07;6.33
Di Francesco F.;Di Francesco Federico;A;A;9;8;Lecce;destro;Italia;14/06/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DI-FRANCESCO-F.png?v=56;7.0;10.0
Rodriguez P.;Rodriguez Pablo;A;A;1;1;Lecce;destro;Spagna;04/08/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ceesay;Ceesay Assan;A;Pc;13;13;Lecce;sinistro;Gambia;17/03/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CEESAY.png?v=56;0.0;0.0
Voelkerling Persson;Voelkerling Persson Joel;A;Pc;1;1;Lecce;destro;Svezia;15/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Maignan;Maignan Mike;P;Por;10;17;Milan;destro;"Francia;Guyana Francese";03/07/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MAIGNAN.png?v=56;6.05;4.86
Mirante;Mirante Antonio;P;Por;1;1;Milan;destro;Italia;08/07/1983 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MIRANTE.png?v=56;6.25;4.75
Sportiello;Sportiello Marco;P;Por;6;1;Milan;destro;Italia;10/05/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SPORTIELLO.png?v=56;6.14;4.57
Kjaer;Kjaer Simon;D;Dc;4;4;Milan;destro;Danimarca;26/03/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KJAER.png?v=56;5.83;5.87
Thiaw;Thiaw Malick;D;Dc;3;10;Milan;destro;"Germania;Finlandia";08/08/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/THIAW.png?v=56;5.68;5.4
Tomori;Tomori Fikayo;D;Dc;12;13;Milan;destro;"Inghilterra;Canada";19/12/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/TOMORI.png?v=56;6.0;6.32
Kalulu;Kalulu Pierre;D;"Dd;Dc";3;8;Milan;destro;"Francia;Repubblica Democratica del Congo";05/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KALULU.png?v=56;5.86;5.86
Calabria;Calabria Davide;D;"Dd;E";9;9;Milan;destro;Italia;06/12/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CALABRIA.png?v=56;5.95;6.03
Ballo-Toure';Ballo-Tourè Fodè;D;"Ds;E";2;2;Milan;sinistro;"Francia;Mali";03/01/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BALLO-TOURE.png?v=56;0.0;0.0
Hernandez T.;Hernandez Theo;D;"Ds;E";15;17;Milan;sinistro;"Francia;Spagna";06/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/HERNANDEZ-T.png?v=56;6.17;6.45
Florenzi;Florenzi Alessandro;D;"Dd;Ds;E";9;4;Milan;destro;Italia;11/03/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FLORENZI.png?v=56;6.0;6.19
Bennacer;Bennacer Ismael;C;"M;C";13;11;Milan;sinistro;"Algeria;Francia";01/12/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BENNACER.png?v=56;6.08;6.47
Krunic;Krunic Rade;C;"M;C";3;7;Milan;destro;Bosnia Erzegovina;07/10/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KRUNIC.png?v=56;5.89;5.72
Reijnders;Reijinders Tijjani;C;"M;C";14;13;Milan;destro;Olanda;29/07/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/REIJNDERS.png?v=56;6.12;6.38
Loftus-Cheek;Loftus-Cheek Ruben;C;C;16;13;Milan;destro;"Inghilterra;Giamaica";23/01/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LOFTUS-CHEEK.png?v=56;6.12;6.69
Pobega;Pobega Tommaso;C;C;1;4;Milan;ambidestro;Italia;15/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/POBEGA.png?v=56;5.93;5.93
Messias;Messias Junior;C;W;10;8;Genoa;sinistro;Brasile;13/05/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MESSIAS.png?v=56;6.18;6.35
Romero L.;Romero Luka;C;W;1;4;Milan;sinistro;"Argentina;Spagna";18/11/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ROMERO-L.png?v=56;6.0;5.75
Saelemaekers;Saelemaekers Alexis;C;W;14;5;Bologna;destro;Belgio;27/06/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SAELEMAEKERS.png?v=56;6.08;6.47
Adli;Adli Yacine;C;T;7;1;Milan;destro;"Francia;Algeria";29/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ADLI.png?v=56;5.98;6.14
De Ketelaere;De Ketelaere Charles;C;T;26;7;Atalanta;sinistro;Belgio;10/03/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DE-KETELAERE.png?v=56;6.33;7.41
Chukwueze;Chukwueze Samuel;C;"W;A";9;18;Milan;sinistro;Nigeria;22/05/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CHUKWUEZE.png?v=56;6.02;6.25
Pulisic;Pulisic Christian;C;"T;A";29;17;Milan;destro;"Stati Uniti;Croazia";18/09/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PULISIC.png?v=56;6.33;7.5
Rafael Leao;Leao Rafael;A;A;27;31;Milan;destro;"Portogallo;Angola";10/06/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RAFAEL-LEAO.png?v=56;6.39;7.41
Colombo;Colombo Lorenzo;A;Pc;10;9;Monza;sinistro;Italia;08/03/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/COLOMBO.png?v=56;5.89;6.39
Giroud;Giroud Olivier;A;Pc;31;24;Milan;sinistro;Francia;30/09/1986 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GIROUD.png?v=56;6.26;7.71
Okafor;Okafor Noah;A;Pc;21;15;Milan;destro;"Svizzera;Nigeria";24/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/OKAFOR.png?v=56;6.21;7.02
Origi;Origi Divock;A;Pc;3;3;Milan;destro;"Belgio;Kenia";18/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ORIGI.png?v=56;0.0;0.0
Di Gregorio;Di Gregorio Michele;P;Por;16;12;Monza;destro;Italia;27/07/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DI-GREGORIO.png?v=56;6.35;5.47
Lamanna;Lamanna Eugenio;P;Por;1;1;Monza;destro;Italia;07/08/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LAMANNA.png?v=56;0.0;0.0
Sorrentino A.;Sorrentino Alessandro;P;Por;2;1;Monza;destro;Italia;03/04/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SORRENTINO-A.png?v=56;6.0;3.71
Antov;Antov Valentin;D;Dc;1;1;Monza;destro;Bulgaria;09/11/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Cittadini;Cittadini Giorgio;D;Dc;2;3;Genoa;destro;Italia;18/04/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.0;5.83
Izzo;Izzo Armando;D;Dc;4;8;Monza;destro;Italia;02/03/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/IZZO.png?v=56;5.82;5.62
Mari';Marì Pablo;D;Dc;8;9;Monza;sinistro;Spagna;31/08/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARI.png?v=56;5.98;5.88
Caldirola;Caldirola Luca;D;"Ds;Dc";5;8;Monza;sinistro;Italia;01/02/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CALDIROLA.png?v=56;5.79;5.78
Carboni A.;Carboni Andrea;D;"Ds;Dc";5;4;Monza;sinistro;Italia;04/02/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CARBONI.png?v=56;5.88;6.0
Carboni F.;Carboni Franco;D;"Ds;E";1;1;Monza;sinistro;"Argentina;Italia";04/04/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kyriakopoulos;Kyriakopoulos Georgios;D;"Ds;E";6;9;Monza;sinistro;Grecia;05/02/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KYRIAKOPOULOS.png?v=56;5.87;5.93
Birindelli;Birindelli Samuele;D;"Dd;Ds;E";8;6;Monza;destro;Italia;19/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BIRINDELLI.png?v=56;6.0;5.89
Carlos Augusto;Carlos Augusto;D;E;14;17;Inter;sinistro;Brasile;07/01/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CARLOS-AUGUSTO.png?v=56;6.14;6.21
Ciurria;Ciurria Patrick;C;"E;W";4;15;Monza;ambidestro;Italia;09/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CIURRIA.png?v=56;5.86;5.86
D'Alessandro;D'Alessandro Marco;C;"E;W";1;1;Monza;destro;Italia;17/02/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/D-ALESSANDRO.png?v=56;0.0;0.0
Gagliardini;Gagliardini Roberto;C;"M;C";8;7;Monza;destro;Italia;07/04/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GAGLIARDINI.png?v=56;5.88;5.92
Machin;Machin Josè;C;C;2;4;Monza;destro;"Guinea Equatoriale;Spagna";14/08/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;5.94;5.81
Colpani;Colpani Andrea;C;"C;T";22;9;Monza;sinistro;Italia;11/05/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/COLPANI.png?v=56;6.20;6.92
Pessina;Pessina Matteo;C;"C;T";14;14;Monza;sinistro;Italia;21/04/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PESSINA.png?v=56;6.07;6.46
Valoti;Valoti Mattia;C;"C;T";2;2;Monza;destro;Italia;06/09/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VALOTI.png?v=56;0.0;0.0
Carboni V.;Carboni Valentin;C;"T;A";14;2;Monza;sinistro;"Argentina;Italia";05/03/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CARBONI-V.png?v=56;6.02;6.32
Vignato S.;Vignato Samuele;C;"T;A";3;1;Monza;destro;"Italia;Brasile";24/02/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VIGNATO-S.png?v=56;6.0;6.25
Caprari;Caprari Gianluca;A;A;2;14;Monza;destro;Italia;30/07/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CAPRARI.png?v=56;5.9;5.9
Mota;Mota Dany;A;A;13;11;Monza;destro;"Portogallo;Lussemburgo";02/05/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MOTA.png?v=56;6.0;6.41
Diaw;Diaw Davide;A;Pc;1;1;Monza;destro;"Italia;Senagal";06/01/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Maric;Maric Mirko;A;Pc;7;1;Monza;sinistro;"Croazia;Bosnia Erzegovina";16/05/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;6.07;6.5
Petagna;Petagna Andrea;A;Pc;4;13;Cagliari;sinistro;Italia;30/06/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/PETAGNA.png?v=56;5.8;6.0
Contini;Contini Nikita;P;Por;1;1;Napoli;destro;"Italia;Ucraina";21/05/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CONTINI.png?v=56;6.0;6.0
Gollini;Gollini Pierluigi;P;Por;2;1;Napoli;destro;Italia;18/03/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GOLLINI.png?v=56;6.0;4.86
Meret;Meret Alex;P;Por;13;17;Napoli;sinistro;Italia;22/03/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MERET.png?v=56;6.06;4.97
Ostigard;Ostigard Leo;D;Dc;6;4;Napoli;destro;Norvegia;28/11/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/OSTIGARD.png?v=56;5.9;6.0
Rrahmani;Rrahmani Amir;D;Dc;9;14;Napoli;ambidestro;"Kosovo;Albania";24/02/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RRAHMANI.png?v=56;5.93;6.15
Juan Jesus;Juan Jesus Nunes;D;"Ds;Dc";4;6;Napoli;sinistro;Brasile;10/06/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/JUAN-JESUS.png?v=56;5.69;5.67
Di Lorenzo;Di Lorenzo Giovanni;D;"Dd;E";12;18;Napoli;destro;Italia;04/08/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DI-LORENZO.png?v=56;6.07;6.21
Zanoli;Zanoli Alessandro;D;"Dd;E";6;4;Salernitana;destro;Italia;03/10/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZANOLI.png?v=56;5.83;5.75
Mario Rui;Mario Rui Duarte;D;"Ds;E";3;10;Napoli;sinistro;Portogallo;27/05/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MARIO-RUI.png?v=56;5.82;5.74
Olivera;Olivera Mathias;D;"Ds;E";5;7;Napoli;sinistro;"Uruguay;Spagna";31/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/OLIVERA.png?v=56;5.82;5.89
Demme;Demme Diego;C;M;1;1;Napoli;destro;"Germania;Italia";21/11/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/DEMME.png?v=56;6.25;6.5
Lobotka;Lobotka Stanislav;C;"M;C";8;14;Napoli;ambidestro;Slovacchia;25/11/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LOBOTKA.png?v=56;5.93;5.91
Saco;Saco Coli;C;"M;C";1;1;Napoli;sinistro;"Mali;Francia";15/05/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Zambo Anguissa;Zambo Anguissa Andrè;C;"M;C";7;15;Napoli;destro;Camerun;16/11/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ANGUISSA.png?v=56;5.82;5.85
Folorunsho;Folorunsho Michael;C;"C;T";12;2;Verona;destro;"Italia;Nigeria";07/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/FOLORUNSHO.png?v=56;6.0;6.41
Gaetano;Gaetano Gianluca;C;"C;T";16;3;Cagliari;destro;Italia;05/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/GAETANO.png?v=56;6.12;6.88
Zielinski;Zielinski Piotr;C;"C;T";11;20;Napoli;destro;Polonia;20/05/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZIELINSKI.png?v=56;5.94;6.33
Elmas;Elmas Eljif;C;"C;W;T";11;17;Napoli;destro;Macedonia del Nord;24/09/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ELMAS.png?v=56;6.0;6.56
Politano;Politano Matteo;C;W;22;13;Napoli;sinistro;Italia;03/08/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/POLITANO.png?v=56;6.19;6.89
Zerbin;Zerbin Alessio;C;W;5;1;Monza;destro;Italia;03/03/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZERBIN.png?v=56;5.78;5.78
Kvaratskhelia;Kvaratskhelia Khvicha;A;A;25;31;Napoli;ambidestro;Georgia;12/02/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KVARATSKHELIA.png?v=56;6.25;7.25
Lozano;Lozano Hirving;A;A;11;12;Napoli;destro;Messico;30/07/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LOZANO.png?v=56;0.0;0.0
Raspadori;Raspadori Giacomo;A;A;14;10;Napoli;ambidestro;Italia;18/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RASPADORI.png?v=56;5.98;6.44
Osimhen;Osimhen Victor;A;Pc;31;43;Napoli;destro;Nigeria;29/12/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/OSIMHEN.png?v=56;6.36;7.88
Simeone;Simeone Giovanni;A;Pc;3;12;Napoli;destro;"Argentina;Spagna";05/07/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SIMEONE.png?v=56;5.74;5.82
Boer;Boer Pietro;P;Por;1;1;Roma;destro;Italia;12/05/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/BOER.png?v=56;0.0;0.0
Rui Patricio;Rui Patricio;P;Por;7;14;Roma;sinistro;Portogallo;15/02/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/RUI-PATRICIO.png?v=56;5.98;4.78
Svilar;Svilar Mile;P;Por;16;1;Roma;destro;"Serbia;Belgio";27/08/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SVILAR.png?v=56;6.47;5.37
Ibanez;Ibanez Roger;D;Dc;7;7;Roma;destro;"Brasile;Uruguay";23/11/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/IBANEZ.png?v=56;0.0;0.0
Kumbulla;Kumbulla Marash;D;Dc;1;3;Sassuolo;destro;"Albania;Italia";08/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KUMBULLA.png?v=56;5.4;4.9
Llorente D.;Llorente Diego;D;Dc;7;6;Roma;destro;Spagna;16/08/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/LLORENTE-D.png?v=56;5.91;5.97
Mancini;Mancini Gianluca;D;Dc;11;11;Roma;destro;Italia;17/04/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/MANCINI.png?v=56;5.99;6.2
N'Dicka;N'Dicka Evan;D;Dc;6;9;Roma;sinistro;"Francia;Camerun";20/08/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NDICKA.png?v=56;5.86;5.86
Smalling;Smalling Chris;D;Dc;7;15;Roma;destro;Inghilterra;22/11/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SMALLING.png?v=56;5.83;5.83
Celik;Celik Zeki;D;"Dd;E";4;3;Roma;destro;Turchia;17/02/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CELIK.png?v=56;5.92;5.88
Karsdorp;Karsdorp Rick;D;"Dd;E";5;2;Roma;destro;Olanda;11/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KARSDORP.png?v=56;6.03;6.08
Kristensen;Kristensen Rasmus;D;"Dd;E";3;9;Roma;destro;Danimarca;11/07/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/KRISTENSEN.png?v=56;5.67;5.69
Vina;Vina Matias;D;"Ds;E";4;4;Sassuolo;sinistro;"Uruguay;Italia";09/11/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/VINA.png?v=56;5.7;5.6
Spinazzola;Spinazzola Leonardo;D;E;10;9;Roma;destro;Italia;25/03/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png?v=56;6.09;6.30
Zalewski;Zalewski Nicola;C;E;4;9;Roma;destro;Polonia;23/01/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/ZALEWSKI.png?v=56;5.80;5.77
Cristante;Cristante Bryan;C;"M;C";14;10;Roma;destro;"Italia;Canada";03/03/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/CRISTANTE.png?v=56;6.11;6.35
