Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione attuale;Quotazione iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavoto
Alario;Alario Lucas;A;Pc;1;3;Eintracht Francoforte;destro;"Argentina;Italia";08/10/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kolo Muani;Kolo Muani Randal;A;Pc;24;29;Paris Saint-Germain;destro;"Francia;Repubblica Democratica del Congo";05/12/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ngankam;Ngankam Jessic;A;Pc;2;2;Eintracht Francoforte;destro;"Germania;Camerun";20/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Blaswich;Blaswich Janis;P;Por;9;4;Lipsia;destro;Germania;02/05/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gulacsi ;Gulacsi Peter;P;Por;15;6;Lipsia;destro;Ungheria;06/05/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Schlieck;Schlieck Timo;P;Por;1;1;Lipsia;destro;Germania;02/03/2006 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Zingerle;Zingerle Leopold;P;Por;1;1;Lipsia;destro;Germania;10/04/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gvardiol;Gvardiol Josko;D;Dc;14;14;Manchester City;sinistro;Croazia;23/01/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Orban;Orban Willi;D;Dc;7;10;Lipsia;destro;"Germania;Ungheria";03/11/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Klostermann;Klostermann Lukas;D;"Dd;Dc";7;5;Lipsia;destro;Germania;03/06/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Simakan;Simakan Mohamed;D;"Dd;Dc";10;7;Lipsia;destro;"Francia;Guinea";03/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Bitshiabu;Bitshiabu El Chadaille;D;"Ds;Dc";2;3;Lipsia;sinistro;"Francia;Repubblica Democratica del Congo";16/05/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Raum;Raum David;D;"Ds;E";17;8;Lipsia;sinistro;Germania;22/04/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Henrichs;Henrichs Benjamin;D;"Dd;Ds;E";12;7;Lipsia;destro;Germania;23/02/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kampl;Kampl Kevin;C;"M;C";7;10;Lipsia;destro;"Slovenia;Germania";09/10/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Schlager;Schlager Xaver;C;"M;C";10;6;Lipsia;sinistro;Austria;28/09/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Seiwald;Seiwald Nicolas;C;"M;C";5;7;Lipsia;destro;Austria;04/05/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Haidara;Haidara Amadou;C;C;9;8;Lipsia;destro;Mali;31/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Clark C.;Clark Caden;C;"C;T";1;1;Lipsia;ambidestro;Stati Uniti;27/05/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Baumgartner C.;Baumgartner Christoph;C;"W;T";18;14;Lipsia;destro;Austria;01/08/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Fabio Carvalho;Fabio Carvalho;C;"W;T";4;9;Liverpool;destro;"Inghilterra;Portogallo";30/08/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Forsberg;Forsberg Emil;C;"W;T";13;18;Lipsia;destro;Svezia;23/10/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Olmo;Olmo Dani;C;"W;T";23;18;Lipsia;destro;Spagna;07/05/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Novoa;Novoa Hugo;C;"W;A";3;3;Lipsia;destro;Spagna;24/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Simons;Simons Xavi;C;"T;A";28;8;Lipsia;destro;"Olanda;Spagna";21/04/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Werner;Werner Timo;A;A;20;15;Tottenham;destro;Germania;06/03/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Openda;Openda Lois;A;Pc;38;20;Lipsia;destro;Belgio;16/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Poulsen;Poulsen Yussuf;A;Pc;15;8;Lipsia;destro;"Danimarca;Tanzania";15/06/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Sesko;Sesko Benjamin;A;Pc;32;19;Lipsia;destro;Slovenia;31/05/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Busk;Busk Jakob;P;Por;1;1;Union Berlino;destro;Danimarca;12/09/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ronnow;Ronnow Frederick;P;Por;6;1;Union Berlino;destro;Danimarca;04/08/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Stein;Stein Yannic;P;Por;1;1;Union Berlino;destro;Germania;17/09/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Diogo Leite;Diogo Leite;D;Dc;4;6;Union Berlino;sinistro;Portogallo;23/01/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Doekhi;Doekhi Danilho;D;Dc;10;11;Union Berlino;destro;"Olanda;Suriname";30/06/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Heintz;Heintz Dominique;D;Dc;2;2;Union Berlino;sinistro;Germania;15/08/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Jaeckel;Jaeckel Paul;D;Dc;1;3;Union Berlino;destro;Germania;22/07/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Knoche;Knoche Robin;D;Dc;5;11;Union Berlino;destro;Germania;22/05/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Juranovic;Juranovic Josip;D;"Dd;E";4;7;Union Berlino;destro;Croazia;16/08/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Trimmel;Trimmel Christopher;D;"Dd;E";5;5;Union Berlino;destro;Austria;24/02/1987 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Roussillon;Roussillon Jerome;D;"Ds;E";3;5;Union Berlino;sinistro;"Francia;Guadalupa";06/01/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Khedira R.;Khedira Rani;C;"M;C";4;8;Union Berlino;destro;"Germania;Tunisia";27/01/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kral;Kral Alex;C;"M;C";4;3;Union Berlino;destro;"Repubblica Ceca;Slovacchia";19/05/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Laidouni;Laidouni Aissa;C;"M;C";4;5;Union Berlino;destro;"Tunisia;Francia";13/12/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Schafer;Schafer Andreas;C;"M;C";9;4;Union Berlino;ambidestro;Ungheria;13/04/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tousart;Tousart Lucas;C;"M;C";5;3;Union Berlino;destro;Francia;29/04/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Haberer;Haberer Janik;C;"C;T";4;8;Union Berlino;destro;Germania;02/04/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Pantovic;Pantovic Milos;C;W;1;1;Union Berlino;destro;"Serbia;Germania";07/07/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Skarke;Skarke Tim;C;W;1;1;Union Berlino;destro;Germania;07/09/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Aaronson;Aaronson Brenden;C;T;11;6;Union Berlino;destro;Stati Uniti;22/10/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Becker;Becker Sheraldo;A;A;11;10;Real Sociedad;destro;"Suriname;Olanda";09/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Behrens;Behrens Kevin;A;Pc;4;7;Union Berlino;destro;Germania;03/02/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Fofana D.;Fofana David Datro;A;Pc;4;5;Union Berlino;destro;Costa d''Avorio;22/12/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hollerbach;Hollerbach Benedict;A;Pc;12;3;Union Berlino;destro;Germania;17/05/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Jordan S.;Siebatcheu Jordan;A;Pc;6;6;Union Berlino;destro;"Stati Uniti;Francia";26/04/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kaufmann;Kaufmann Mikkel;A;Pc;4;6;Union Berlino;destro;Danimarca;03/01/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ramsdale;Ramsdale Aaron;P;Por;1;11;Arsenal;destro;Inghilterra;14/05/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Runarsson;Runarsson Runar Alex;P;Por;1;1;Arsenal;destro;Islanda;18/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Turner;Turner Matt;P;Por;1;1;Arsenal;destro;"Stati Uniti;Lituania";24/06/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gabriel Magalhaes;Gabriel Magalhaes;D;Dc;12;16;Arsenal;sinistro;Brasile;19/12/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Holding;Holding Rob;D;Dc;2;2;Arsenal;destro;Inghilterra;20/09/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kiwior;Kiwior Jacub;D;Dc;10;2;Arsenal;sinistro;Polonia;15/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Saliba;Saliba William;D;Dc;13;13;Arsenal;destro;"Francia;Camerun";24/03/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Timber J.;Timber Jurrien;D;"Dd;Dc";2;3;Arsenal;destro;"Olanda;Curacao";17/06/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tomiyasu;Tomiyasu Takehiro;D;"Dd;Dc";12;5;Arsenal;ambidestro;Giappone;05/11/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
White;White Ben;D;"Dd;Dc";13;11;Arsenal;destro;Inghilterra;08/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Trusty;Trusty Auston;D;"Ds;Dc";1;1;Arsenal;sinistro;Stati Uniti;12/08/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Cedric Soares;Soares Cedric;D;"Dd;E";1;1;Arsenal;destro;"Portogallo;Germania";31/08/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tavares N.;Tavares Nuno;D;"Ds;E";3;3;Arsenal;sinistro;"Portogallo;Capo Verde";26/01/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tierney;Tierney Kieran;D;"Ds;E";5;5;Real Sociedad;sinistro;"Scozia;Isola di Man";05/06/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Zinchenko;Zinchenko Oleksandr;D;"Ds;E";11;9;Arsenal;destro;Ucraina;15/12/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Elneny;Elneny Mohamed;C;"M;C";1;4;Arsenal;destro;Egitto;11/07/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Jorginho;Jorginho;C;"M;C";4;11;Arsenal;destro;"Italia;Brasile";20/12/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Patino;Patino Charlie;C;"M;C";1;1;Arsenal;sinistro;"Inghlterra;Spagna";17/10/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Rice;Rice Declan;C;"M;C";26;15;Arsenal;destro;"Irlanda;Inghilterra";14/01/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Sambi Lokonga;Sambi Lokonga Albert;C;"M;C";4;4;Arsenal;destro;"Belgio;Repubblica Democratica del Congo";22/10/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Thomas;Thomas Partey;C;"M;C";4;6;Arsenal;destro;Ghana;13/06/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Marquinhos A.;Marquinhos Alencar;C;W;1;1;Arsenal;sinistro;Brasile;07/04/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Fabio Vieira;Fabio Vieira;C;T;7;8;Arsenal;sinistro;Portogallo;30/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Odegaard;Odegaard Martin;C;T;26;35;Arsenal;sinistro;Norvegia;17/12/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Smith Rowe;Smith Rowe Emile;C;"W;T";4;9;Arsenal;destro;Inghilterra;28/07/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Saka;Saka Bukayo;A;"W;A";35;26;Arsenal;sinistro;"Inghilterra;Ghana";05/09/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Havertz;Havertz Kai;A;A;25;15;Arsenal;sinistro;Germania;11/06/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Martinelli;Martinelli Gabriel;A;A;24;25;Arsenal;destro;"Brasile;Italia";18/06/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Nelson;Nelson Reiss;A;A;4;5;Arsenal;destro;"Inghilterra;Zimbabwe";10/12/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Pepe N.;Pépé Nicolas;A;A;6;6;Arsenal;sinistro;"Costa d''Avorio;Francia";29/05/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Trossard;Trossard Leandro;A;A;29;16;Arsenal;destro;Belgio;04/12/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Balogun;Balogun Folarin;A;Pc;16;16;Monaco;destro;"Inghilterra;Stati Uniti";03/07/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gabriel Jesus;Gabriel Jesus;A;Pc;17;32;Arsenal;destro;Brasile;03/04/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Nketiah;Nketiah Eddie;A;Pc;14;4;Arsenal;destro;"Inghilterra;Ghana";30/05/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Martinez E.;Martinez Emiliano;P;Por;9;10;Aston Villa;destro;Argentina;02/09/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Olsen;Olsen Robin;P;Por;5;1;Aston Villa;destro;"Svezia;Danimarca";08/01/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Diego Carlos;Diego Carlos;D;Dc;4;5;Aston Villa;destro;Brasile;15/03/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hause;Hause Kortney;D;Dc;1;1;Aston Villa;sinistro;"Inghilterra;Bermuda";16/07/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mings;Mings Tyrone;D;Dc;1;5;Aston Villa;sinistro;"Inghilterra;Barbados";13/03/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Torres P.;Torres Pau;D;Dc;10;10;Aston Villa;sinistro;Spagna;16/01/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Chambers;Chambers Calum;D;"Dd;Dc";3;3;Aston Villa;destro;Inghilterra;20/01/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Konsa;Konsa Ezri;D;"Dd;Dc";6;7;Aston Villa;destro;"Inghilterra;Repubblica Democratica del Congo";23/10/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Cash;Cash Matty;D;"Dd;E";9;8;Aston Villa;destro;"Inghilterra;Polonia";07/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Digne;Digne Lucas;D;"Ds;E";10;7;Aston Villa;sinistro;Francia;20/07/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Moreno A.;Moreno Alex;D;"Ds;E";9;6;Aston Villa;sinistro;Spagna;08/06/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Dendoncker;Dendoncker Leander;C;M;1;3;Napoli;destro;Belgio;15/04/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Douglas Luiz;Douglas Luiz;C;"M;C";22;15;Aston Villa;destro;Brasile;09/05/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Iroegbunam;Iroegbunam Tim;C;"M;C";2;1;Aston Villa;destro;"Inghilterra;Nigeria";30/06/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kamara;Kamara Boubacar;C;"M;C";4;6;Aston Villa;destro;"Francia;Senegal";23/11/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mcginn;McGinn John;C;C;16;9;Aston Villa;sinistro;Scozia;18/10/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tielemans;Tielemans Youri;C;C;14;13;Aston Villa;destro;Belgio;07/05/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ramsey J.;Ramsey Jacob;C;"C;W";10;14;Aston Villa;destro;Inghilterra;28/05/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Philogene-Bidace;Philogene-Bidace Jaden;C;W;1;1;Aston Villa;destro;Inghilterra;08/02/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Buendia;Buendia Emiliano;C;"W;T";9;18;Aston Villa;destro;"Argentina;Spagna";25/12/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ramsey A.j.;Ramsey Aaron James;C;"W;T";1;1;Aston Villa;destro;Inghilterra;21/01/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Coutinho;Coutinho Philippe;C;"T;A";7;8;Aston Villa;destro;Brasile;12/06/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Bailey;Bailey Leon;A;"W;A";27;12;Aston Villa;sinistro;Giamaica;09/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Diaby;Diaby Moussa;A;A;19;21;Aston Villa;sinistro;Francia;07/07/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Traore' B.;Traorè Bertrand;A;A;5;4;Villarreal;sinistro;Burkina Faso;06/09/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Archer;Archer Cameron;A;Pc;1;1;Aston Villa;destro;"Inghilterra;Giamaica";09/12/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Davis K.;Davis Keinan;A;Pc;1;1;Aston Villa;destro;Inghilterra;13/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Duran;Duran Jhon;A;Pc;8;2;Aston Villa;sinistro;Colombia;13/12/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Watkins;Watkins Ollie;A;Pc;39;25;Aston Villa;destro;Inghilterra;30/12/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mcgill;McGill Tom;P;Por;1;1;Brighton;destro;"Canada;Inghilterra";25/03/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Sanchez Ro.;Sanchez Robert;P;Por;5;1;Chelsea;destro;"Spagna;Inghilterra";18/11/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Steele;Steele Jason;P;Por;2;11;Brighton;destro;Inghilterra;18/08/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Verbruggen;Verbruggen Bart;P;Por;8;1;Brighton;destro;Olanda;18/08/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Dunk;Dunk Lewis;D;Dc;13;7;Brighton;destro;Inghilterra;21/11/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Van Hecke;Van Hecke Jean-Paul;D;Dc;4;3;Brighton;destro;Olanda;08/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Webster;Webster Adam;D;Dc;2;4;Brighton;destro;Inghilterra;04/01/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Veltman;Veltman Joel;D;"Dd;Dc";7;4;Brighton;destro;Olanda;15/01/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Igor;Igor;D;"Ds;Dc";5;7;Brighton;sinistro;Brasile;07/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Lamptey;Lamptey Tariq;D;"Dd;E";7;3;Brighton;destro;"Inghilterra;Ghana";30/09/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
