Cognome;Nome Completo;Ruolo;Ruoli Mantra;Quotazione attuale;Quotazione iniziale;Squadra;Piede;Nazionalità;Data Nascita;Foto;Media Voto;Media Fantavoto
Ndiaye I.;Ndiaye Iliman;A;A;14;6;Olympique Marsiglia;destro;"Senegal;Francia";06/03/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Sarr I.;Sarr Ismaila;A;A;15;8;Olympique Marsiglia;destro;Senegal;25/02/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Aubameyang;Aubameyang Pierre-Emerick;A;Pc;32;20;Olympique Marsiglia;destro;"Gabon;Francia";18/06/1989 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Vitinha O.;Vitor Manuel Carvalho Olivera;A;Pc;5;7;Olympique Marsiglia;destro;Portogallo;15/03/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Donnarumma G.;Donnarumma Gianluigi;P;Por;16;15;Paris Saint-Germain;destro;Italia;25/02/1999 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Letellier;Letellier Alexandre;P;Por;1;1;Paris Saint-Germain;destro;Francia;11/12/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Navas;Navas Keylor;P;Por;2;1;Paris Saint-Germain;destro;"Costarica;Spagna";15/12/1986 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tenas;Tenas Arnau;P;Por;5;1;Paris Saint-Germain;destro;Spagna;30/05/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Kimpembe;Kimpembe Presnel;D;Dc;1;3;Paris Saint-Germain;sinistro;"Francia;Repubblica Democratica del Congo";13/08/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Marquinhos;Marquinhos;D;Dc;6;9;Paris Saint-Germain;destro;"Brasile;Portogallo";14/05/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Pereira D.;Pereira Danilo;D;Dc;4;10;Paris Saint-Germain;destro;"Portogallo;Guinea Bissau";09/09/1991 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Skriniar;Skriniar Milan;D;Dc;4;11;Paris Saint-Germain;destro;Slovacchia;11/02/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Diallo Ab.;Diallo Abdou;D;"Ds;Dc";3;3;Paris Saint-Germain;sinistro;"Francia;Senegal";04/05/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hernandez L.;Hernandez Lucas;D;"Ds;Dc";7;13;Paris Saint-Germain;sinistro;Francia;14/02/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Hakimi;Hakimi Achraf;D;"Dd;E";21;20;Paris Saint-Germain;destro;"Marocco;Spagna";04/11/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mukiele;Mukiele Nordi;D;"Dd;E";4;6;Paris Saint-Germain;destro;"Francia;Repubblica Democratica del Congo";01/11/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Pembele';Pembelè Timothee;D;"Dd;E";1;1;Paris Saint-Germain;destro;"Francia;Repubblica Democratica del Congo";09/09/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Bernat;Bernat Juan;D;"Ds;E";6;6;Paris Saint-Germain;sinistro;Spagna;01/03/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Nuno Mendes;Nuno Mendes;D;"Ds;E";9;19;Paris Saint-Germain;sinistro;Portogallo;19/06/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Zaire-Emery;Zaire-Emery Warren;C;"E;C";14;4;Paris Saint-Germain;destro;"Francia;Martinica";08/03/2006 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Michut;Michut Edouard;C;"M;C";1;1;Paris Saint-Germain;destro;Francia;04/03/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Paredes;Paredes Leandro;C;"M;C";11;4;Roma;destro;Argentina;29/06/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ugarte;Ugarte Manuel;C;"M;C";10;5;Paris Saint-Germain;destro;Uruguay;11/04/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Verratti;Verratti Marco;C;"M;C";8;9;Paris Saint-Germain;destro;Italia;05/11/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Renato Sanches;Renato Sanches;C;C;5;9;Roma;destro;Portogallo;18/08/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ndour;Ndour Cher;C;"C;T";2;6;Paris Saint-Germain;ambidestro;"Italia;Senegal";27/07/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ruiz;Ruiz Fabian;C;"C;T";8;12;Paris Saint-Germain;sinistro;Spagna;03/04/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Vitinha;Vitinha;C;"C;T";23;11;Paris Saint-Germain;destro;Portogallo;13/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Wijnaldum;Wijnaldum Georginio;C;"C;T";7;7;Paris Saint-Germain;destro;"Olanda;Suriname";11/11/1990 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Soler;Soler Carlos;C;"C;W";10;8;Paris Saint-Germain;destro;Spagna;02/01/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Draxler;Draxler Julian;C;"W;T";3;4;Paris Saint-Germain;destro;Germania;20/09/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gharbi;Gharbi Ismael;C;"W;T";1;1;Paris Saint-Germain;destro;"Spagna;Francia";10/04/2004 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Lee K.;Lee Kang-in;C;"W;T";18;3;Paris Saint-Germain;sinistro;Corea del Sud;19/02/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Asensio;Asensio Marco;A;A;19;12;Paris Saint-Germain;sinistro;"Spagna;Olanda";21/01/1996 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Neymar;Neymar;A;A;29;29;Paris Saint-Germain;destro;Brasile;05/02/1992 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Ekitike;Ekitike Hugo;A;Pc;16;11;Eintracht Francoforte;destro;"Francia;Camerun";20/06/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Housni;Housni Ilyes;A;Pc;1;1;Paris Saint-Germain;destro;"Francia;Marocco";14/05/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mbappe';Mbappè Kylian;A;Pc;48;49;Paris Saint-Germain;destro;"Francia;Camerun";20/12/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gallon;Gallon Gauthier;P;Por;1;1;Rennes;destro;Francia;23/04/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Lembet;Lembet Geoffrey;P;Por;1;1;Rennes;destro;"Repubblica Centrafricana;Francia";23/09/1988 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Mandanda;Mandanda Steve;P;Por;10;13;Rennes;destro;Francia;28/03/1985 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Omari;Omari Warmed;D;Dc;3;3;Rennes;destro;"Francia;Comore";23/04/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Theate;Theate Arthur;D;Dc;9;11;Rennes;sinistro;Belgio;25/05/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Wooh;Wooh Christopher;D;Dc;6;4;Rennes;destro;"Camerun;Francia";18/09/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Belocian;Belocian Jeanuel;D;"Ds;Dc";4;1;Rennes;sinistro;"Francia;Guadalupa";17/02/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Assignon;Assignon Lorenz;D;"Dd;E";9;7;Rennes;destro;"Francia;Togo";22/06/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Meling;Meling Birger;D;"Ds;E";5;5;Rennes;sinistro;Norvegia;17/12/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Truffert;Truffert Adrien;D;"Ds;E";10;5;Rennes;sinistro;Francia;20/11/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Santamaria;Santamaria Baptiste;C;"M;C";6;6;Rennes;destro;Francia;09/03/1995 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Xeka;Miguel Rocha;C;"M;C";5;5;Rennes;ambidestro;Portogallo;10/11/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Le Fee;Le Fee Enzo;C;"C;T";4;9;Rennes;destro;Francia;03/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Majer L.;Majer Lovro;C;"C;T";7;7;Rennes;sinistro;Croazia;17/01/1998 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tait;Tait Flavien;C;"C;T";7;8;Rennes;destro;Francia;02/02/1993 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Tchaouna;Tchaouna Loum;C;W;1;1;Rennes;sinistro;"Francia;Ciad";08/09/2003 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Blas;Blas Ludovic;C;"W;T";12;10;Rennes;sinistro;"Francia;Martinica";31/12/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Bourigeaud;Bourigeaud Benjamin;C;"W;T";21;22;Rennes;destro;Francia;14/01/1994 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Doue' D.;Douè Desirè;C;"W;T";15;8;Rennes;destro;"Francia;Costa d''Avorio";03/06/2005 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Doku;Doku Jeremy;A;"W;A";20;18;Manchester City;destro;"Belgio;Ghana";27/05/2002 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Gouiri;Gouiri Amine;A;A;19;15;Rennes;destro;"Francia;Algeria";16/02/2000 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Salah I.;Salah Ibrahim;A;A;7;1;Rennes;destro;"Marocco;Belgio";30/08/2001 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
Terrier;Terrier Martin;A;A;22;14;Rennes;destro;Francia;04/03/1997 00:00:00;https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=56;0.0;0.0
